X,Y,Arsenic_kit,Arsenic_lab
260756.7,2633408,200,167.1221582
260463.6,2633765,200,104.7746879
261493.2,2632935,200,87.10249203
261319.6,2633431,200,96.8856738
261418.9,2633373,200,79.60452798
261497.8,2633414,200,104.4525738
261493.5,2633464,200,120.4144819
261523.8,2633550,200,65.94582422
260662.7,2632137,200,1.368709053
260806.8,2632323,200,68.55654806
259098.9,2631103,200,139.6963927
262501.4,2630209,300,80.91820309
262586.9,2630154,300,96.12194043
260165.4,2628071,300,98.20305905
262311,2632646,300,113.2773353
260115.6,2628019,300,119.921413
262357.5,2630199,300,125.51752
262336.5,2630256,300,126.3024683
260781,2632615,300,126.9975905
260102.6,2627978,300,128.9077003
262617.9,2633359,300,133.2469109
254801,2630608,300,143.1753473
262526.2,2630166,300,153.6988244
261323.8,2629790,300,161.0677501
260070.8,2628641,300,169.9723551
260159.8,2628474,300,175.1052296
261381.8,2629718,300,185.9021727
261182.9,2632564,300,188.5508251
260795.7,2632887,300,211.2327055
260889.5,2630109,300,224.2172572
260485.7,2631837,300,239.7838959
260120.1,2628801,300,250.6118329
260212,2628549,300,262.9306739
259059.3,2631366,300,288.5237334
260175.1,2628598,300,309.8714646
260967.8,2631388,300,347.5530065
258842.6,2631079,300,403.3417303
257820.9,2632533,300,256.61
257461.7,2630666,300,184.95
259300.1,2632161,300,85.26
259271.7,2632187,300,103.42
259276.7,2632185,300,74.68
259112.7,2632131,300,169.07
259123.7,2632181,300,115.05
259035,2632162,300,165.76
259127,2631976,300,187.14
259009.4,2631952,300,220.03
257387.6,2631718,300,86.07
258897.4,2632879,300,148.84
259154.6,2632913,300,216.58
258231.2,2632574,300,339.3
258418.8,2632307,300,184.94
258644.7,2632098,300,241.98
258659,2631322,300,473.34
258099.3,2630680,300,169.51
257477.6,2630701,300,172.07
256862.1,2629271,300,104.85
259053.6,2634195,300,107.99
256230.7,2633864,300,91.2
256516.6,2632075,300,283.26
255347.3,2631672,300,307.35
254486,2631195,300,420.61
254784.6,2630658,300,128.71
258965.1,2633066,300,216.65
258897.2,2632967,300,172.68
258914.3,2632978,300,186.7
259147.7,2633008,300,249.6717431
255920,2632672,300,125.2476215
255728.2,2632391,300,255.6206349
254006.2,2630765,300,285.9718839
253978,2630703,300,234.8244961
254795.4,2630294,300,182.075367
258252.1,2630162,300,246.6403443
259299.2,2634968,300,142.4099676
259405.7,2632994,300,270.7859739
259420.8,2632983,300,258.6621348
259364.2,2632949,300,154.6764134
259413.8,2633070,300,227.78906
259361.8,2634949,300,115.792905
260147.8,2633580,300,128.7577221
260163.5,2633604,300,147.6387886
260731.1,2633401,300,36.31123884
261384.6,2633351,300,208.4476799
261413.2,2633339,300,116.7823669
260056.4,2631958,300,80.62721432
256563.8,2633183,500,156.0203873
260111.4,2632007,500,180.0056219
260788.7,2632830,500,187.6697073
262269,2630895,500,193.1476096
260661.7,2632549,500,230.1036722
260592.2,2632480,500,253.5117923
259100.3,2631121,500,260.2838912
262324.1,2630961,500,263.5268337
262275.6,2630804,500,274.1994958
260189.7,2628914,500,275.1066856
259099.6,2631336,500,277.2832524
260692.9,2632586,500,290.3481906
260138.5,2628479,500,296.5843268
260748.6,2630128,500,299.5823902
260557.2,2632397,500,304.3066542
260092.2,2628639,500,310.0917209
256648.8,2634394,500,313.1877775
260719.6,2632599,500,319.6506244
260700.4,2632609,500,324.1413851
262280.2,2630774,500,325.5324273
261384.1,2629984,500,335.58548
