Well_ID,Wp_ID.x,lat,lon,As_Result,Depth.2000,X2000,Y2000,Depth_2000,Installation_2000,As_GFAA_2000,As_MS_2000,As2014,As2015,As2015
7011,2765L,23.78998269,90.63888391,300,55,259420.8,2632983,55,1996,238,280.9,258.662,243.1,243.1
7013,2772L,23.79021185,90.63843917,300,60,259364.2,2632949,60,1995,189,222.86,154.676,203.1,203.1
7015,2783L,23.78961733,90.63804983,500,60,259321.6,2632942,60,1999,275,334.51,351.206,274.7,274.7
7021,2759L,23.79076213,90.6389052,300,50,259413.8,2633070,50,1975,196,242.77,227.789,215.8,215.8
7029,779K,23.79114007,90.6402733,100,35,259550.5,2633114,35,1999,155,158.48,45.077,28.6,28.6
7040,812K,23.79119799,90.64206108,100,35,259735.4,2633094,35,1995,62,66.69,54.958,55.6,55.6
7050,830K,23.79071485,90.64239484,10,30,259761.9,2633055,30,1993,17,23.8,17.756,17.1,17.1
7058,825K,23.79093563,90.6427779,100,35,259813.2,2633074,35,1995,47,56.77,43.508,40.9,40.9
7060,836K,23.79137518,90.6430208,0,40,259837.8,2633118,40,1992,11,16.35,6.831,NA,
7061,837K,23.79146738,90.64299348,0,40,259841.5,2633138,40,1996,5,13.87,8.042,5.6,5.6
7065,854K,23.79020087,90.64330051,100,55,259861,2632985,55,1996,35,32.79,41.589,40.8,40.8
7066,853K,23.79006567,90.64305433,0,35,259835.4,2632978,35,1996,12,6,7.918,8.3,8.3
7067,855K,23.78990038,90.64333362,50,45,259872.8,2632981,45,1996,5,11.67,18.366,16.4,16.4
7094,949K,23.79077319,90.64634616,200,35,260174.7,2633048,35,1996,48,66.55,53.098,NA,
7096,1014K,23.78950023,90.64613736,100,52,260140.3,2632917,52,1997,20,37.46,59.285,69.2,69.2
7123,903K,23.79279256,90.64531409,200,30,260064.5,2633266,30,1989,51,48.03,45.406,42.4,42.4
7124,901K,23.79288568,90.64519398,100,30,260058,2633286,30,1999,35,50.17,46.224,NA,
7126,882K,23.7934585,90.64594349,25,30,260151,2633357,30,1989,5,10.96,21.693,19.1,19.1
7129,880K,23.79363217,90.64630936,500,80,260176.8,2633375,80,1996,255,262.15,267.554,264.6,264.6
7131,869K,23.7943158,90.64630735,25,40,260176.5,2633463,40,1994,32,42.39,36.376,23.4,23.4
7148,1978K,23.79457254,90.64088861,100,40,259629.8,2633491,40,1992,71,74.5,48.571,49.6,49.6
7156,1941K,23.79664,90.64381,500,45,259951.4,2633726,45,1998,192,224.28,100.652,147.8,147.8
7157,1943K,23.79647,90.64403,100,31,259956.3,2633711,31,1994,28,35.85,32.355,27.3,27.3
