X,Y,Depth_m,Arsenic_lab
257907.4095,2631911.05,14,88
257884.3055,2631950.219,15,104
257832.3743,2631997.294,14,24
257914.0503,2632003.241,17,24
257922.7376,2632010.52,17,24
257949.118,2632063.598,15,93
258018.5609,2632252.691,14,121
258051.4834,2632294.579,14,144
257913.2474,2632259.993,14,48
257962.2158,2632237.012,14,50
257913.34,2632265.532,14,47
257868.0265,2632196.149,14,64
258020.165,2632147.398,14,80
257747.6458,2632211.018,14,193
257866.1082,2632185.101,14,15
257768.034,2632210.677,14,56
257865.6744,2632159.179,14,84
257782.7075,2632173.532,15,132
257743.2229,2632153.916,14,52
257763.4553,2632144.269,14,119
257751.6932,2632148.234,14,118
257745.0486,2632159.425,14,126
257778.7168,2632142.241,14,88
257766.1795,2632099.901,11,316
257908.4618,2632175.084,15,212
257943.4588,2632237.326,11,76
258192.5939,2632397.486,15,50
258128.8387,2632444.758,12,56
258142.5818,2632455.609,11,41
258150.7079,2632533.038,14,29
258063.7465,2632418.145,21,62
258143.8466,2632531.269,12,29
258139.8914,2632398.367,11,11
258144.8092,2632485.157,18,31
258160.6817,2632623.4,14,78
258137.3303,2632647.724,14,102
258070.2374,2632598.983,9,65
258070.9422,2632543.568,15,229
257959.2736,2632573.138,15,160
258013.8937,2632583.305,11,35
257965.4825,2632639.518,12,50
257898.945,2632624.01,9,82
258020.4721,2632470.615,12,144
258017.0766,2632468.788,12,16
258280.5629,2632578.847,14,35
258084.2314,2632521.185,9,22
258097.2335,2632487.725,22,97
258235.2836,2632511.346,30,71
